ticket,epic_num,epic_title,commit_count,first,last,span_days
F-1,1,Epic 1 — Multi-Provider LLM Pipeline,1,2026-04-12,2026-04-12,0
F-5,1,Epic 1 — Multi-Provider LLM Pipeline,1,2026-04-12,2026-04-12,0
G-3,2,Epic 2 — Production Launch & Demo Readiness,1,2026-04-12,2026-04-12,0
G-5,2,Epic 2 — Production Launch & Demo Readiness,1,2026-04-12,2026-04-12,0
K-1,6,Epic 6 — Platform Hardening,1,2026-04-12,2026-04-12,0
K-3,6,Epic 6 — Platform Hardening,1,2026-04-12,2026-04-12,0
K-6,6,Epic 6 — Platform Hardening,1,2026-04-12,2026-04-12,0
H-10,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),2,2026-04-14,2026-04-15,1
H-8,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-14,2026-04-14,0
H-9,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-14,2026-04-14,0
L-1,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-15,2026-04-15,0
L-5,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-15,2026-04-15,0
S-1,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-15,2026-04-15,0
S-2,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-15,2026-04-15,0
S-3,8,Epic 8 — Onboarding Completeness (Address & Measurement Units),1,2026-04-15,2026-04-15,0
H-10,10,Epic 10 — Curriculum Lifecycle & Governance,1,2026-04-15,2026-04-15,0
L-1,10,Epic 10 — Curriculum Lifecycle & Governance,4,2026-04-15,2026-04-15,0
L-10,10,Epic 10 — Curriculum Lifecycle & Governance,1,2026-04-15,2026-04-15,0
L-2,10,Epic 10 — Curriculum Lifecycle & Governance,1,2026-04-15,2026-04-15,0
L-3,10,Epic 10 — Curriculum Lifecycle & Governance,1,2026-04-15,2026-04-15,0
L-4,10,Epic 10 — Curriculum Lifecycle & Governance,1,2026-04-15,2026-04-15,0
L-5,10,Epic 10 — Curriculum Lifecycle & Governance,2,2026-04-15,2026-04-15,0
C-1,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-2,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-3,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-4,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-5,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-6,11,Epic 11 — Content Presentation & Formatting,1,2026-04-15,2026-04-15,0
C-9,11,Epic 11 — Content Presentation & Formatting,2,2026-04-15,2026-04-15,0
